table,field,required,type,description,schema
VISIT_DETAIL,discharged_to_concept_id,No,INTEGER,"Use this field to determine where the patient was discharged to after a visit. This concept is part of the visit domain and can indicate if a patient was transferred to another hospital or sent to a long-term care facility, for example.  It is assumed that a person is discharged to home therefore there is not a standard concept id for ""home"".  Use concept id = 0 when a person is discharged to home.",cdm
VISIT_DETAIL,preceding_visit_detail_id,No,INTEGER,Use this field to find the visit detail that occurred for the person prior to the given visit detail record. There could be a few days or a few years in between.,cdm
VISIT_DETAIL,parent_visit_detail_id,No,INTEGER,Use this field to find the visit detail that subsumes the given visit detail record. This is used in the case that a visit detail record needs to be nested beyond the VISIT_OCCURRENCE/VISIT_DETAIL relationship.,cdm
VISIT_DETAIL,visit_occurrence_id,Yes,INTEGER,Use this field to link the VISIT_DETAIL record to its VISIT_OCCURRENCE.,cdm
CONDITION_OCCURRENCE,condition_occurrence_id,Yes,INTEGER,The unique key given to a condition record for a person. Refer to the ETL for how duplicate conditions during the same visit were handled.,cdm
CONDITION_OCCURRENCE,person_id,Yes,INTEGER,The PERSON_ID of the PERSON for whom the condition is recorded.,cdm
CONDITION_OCCURRENCE,condition_concept_id,Yes,INTEGER,"The CONDITION_CONCEPT_ID field is recommended for primary use in analyses, and must be used for network studies. This is the standard concept mapped from the source value which represents a condition",cdm
CONDITION_OCCURRENCE,condition_start_date,Yes,DATE,Use this date to determine the start date of the condition,cdm
CONDITION_OCCURRENCE,condition_start_datetime,No,DATETIME,,cdm
CONDITION_OCCURRENCE,condition_end_date,No,DATE,Use this date to determine the end date of the condition,cdm
CONDITION_OCCURRENCE,condition_end_datetime,No,DATETIME,,cdm
CONDITION_OCCURRENCE,condition_type_concept_id,Yes,INTEGER,"This field can be used to determine the provenance of the Condition record, as in whether the condition was from an EHR system, insurance claim, registry, or other sources.",cdm
CONDITION_OCCURRENCE,condition_status_concept_id,No,INTEGER,"This concept represents the point during the visit the diagnosis was given (admitting diagnosis, final diagnosis), whether the diagnosis was determined due to laboratory findings, if the diagnosis was exclusionary, or if it was a preliminary diagnosis, among others. ",cdm
CONDITION_OCCURRENCE,stop_reason,No,CHARACTER VARYING,The Stop Reason indicates why a Condition is no longer valid with respect to the purpose within the source data. Note that a Stop Reason does not necessarily imply that the condition is no longer occurring.,cdm
CONDITION_OCCURRENCE,provider_id,No,INTEGER,"The provider associated with condition record, e.g. the provider who made the diagnosis or the provider who recorded the symptom.",cdm
CONDITION_OCCURRENCE,visit_occurrence_id,No,INTEGER,The visit during which the condition occurred.,cdm
CONDITION_OCCURRENCE,visit_detail_id,No,INTEGER,"The VISIT_DETAIL record during which the condition occurred. For example, if the person was in the ICU at the time of the diagnosis the VISIT_OCCURRENCE record would reflect the overall hospital stay and the VISIT_DETAIL record would reflect the ICU stay during the hospital visit.",cdm
CONDITION_OCCURRENCE,condition_source_value,No,CHARACTER VARYING,"This field houses the verbatim value from the source data representing the condition that occurred. For example, this could be an ICD10 or Read code.",cdm
CONDITION_OCCURRENCE,condition_source_concept_id,No,INTEGER,"This is the concept representing the condition source value and may not necessarily be standard. This field is discouraged from use in analysis because it is not required to contain Standard Concepts that are used across the OHDSI community, and should only be used when Standard Concepts do not adequately represent the source detail for the Condition necessary for a given analytic use case. Consider using CONDITION_CONCEPT_ID instead to enable standardized analytics that can be consistent across the network.",cdm
CONDITION_OCCURRENCE,condition_status_source_value,No,CHARACTER VARYING,This field houses the verbatim value from the source data representing the condition status.,cdm
DRUG_EXPOSURE,drug_exposure_id,Yes,INTEGER,The unique key given to records of drug dispensings or administrations for a person. Refer to the ETL for how duplicate drugs during the same visit were handled.,cdm
DRUG_EXPOSURE,person_id,Yes,INTEGER,The PERSON_ID of the PERSON for whom the drug dispensing or administration is recorded. This may be a system generated code.,cdm
DRUG_EXPOSURE,drug_concept_id,Yes,INTEGER,"The DRUG_CONCEPT_ID field is recommended for primary use in analyses, and must be used for network studies. This is the standard concept mapped from the source concept id which represents a drug product or molecule otherwise introduced to the body. The drug concepts can have a varying degree of information about drug strength and dose. This information is relevant in the context of quantity and administration information in the subsequent fields plus strength information from the DRUG_STRENGTH table, provided as part of the standard vocabulary download.",cdm
DRUG_EXPOSURE,drug_exposure_start_date,Yes,DATE,Use this date to determine the start date of the drug record.,cdm
DRUG_EXPOSURE,drug_exposure_start_datetime,No,DATETIME,,cdm
DRUG_EXPOSURE,drug_exposure_end_date,Yes,DATE,The DRUG_EXPOSURE_END_DATE denotes the day the drug exposure ended for the patient.,cdm
DRUG_EXPOSURE,drug_exposure_end_datetime,No,DATETIME,,cdm
DRUG_EXPOSURE,verbatim_end_date,No,DATE,"This is the end date of the drug exposure as it appears in the source data, if it is given",cdm
DRUG_EXPOSURE,drug_type_concept_id,Yes,INTEGER,"You can use the TYPE_CONCEPT_ID to delineate between prescriptions written vs. prescriptions dispensed vs. medication history vs. patient-reported exposure, etc.",cdm
DRUG_EXPOSURE,stop_reason,No,CHARACTER VARYING,"The reason a person stopped a medication as it is represented in the source. Reasons include regimen completed, changed, removed, etc. This field will be retired in v6.0.",cdm
DRUG_EXPOSURE,refills,No,INTEGER,This is only filled in when the record is coming from a prescription written this field is meant to represent intended refills at time of the prescription.,cdm
DRUG_EXPOSURE,quantity,No,FLOAT,,cdm
DRUG_EXPOSURE,days_supply,No,INTEGER,,cdm
DRUG_EXPOSURE,sig,No,CHARACTER VARYING,This is the verbatim instruction for the drug as written by the provider.,cdm
DRUG_EXPOSURE,route_concept_id,No,INTEGER,,cdm
DRUG_EXPOSURE,lot_number,No,CHARACTER VARYING,,cdm
DRUG_EXPOSURE,provider_id,No,INTEGER,"The Provider associated with drug record, e.g. the provider who wrote the prescription or the provider who administered the drug.",cdm
DRUG_EXPOSURE,visit_occurrence_id,No,INTEGER,"The Visit during which the drug was prescribed, administered or dispensed.",cdm
DRUG_EXPOSURE,visit_detail_id,No,INTEGER,"The VISIT_DETAIL record during which the drug exposure occurred. For example, if the person was in the ICU at the time of the drug administration the VISIT_OCCURRENCE record would reflect the overall hospital stay and the VISIT_DETAIL record would reflect the ICU stay during the hospital visit.",cdm
DRUG_EXPOSURE,drug_source_value,No,CHARACTER VARYING,"This field houses the verbatim value from the source data representing the drug exposure that occurred. For example, this could be an NDC or Gemscript code.",cdm
DRUG_EXPOSURE,drug_source_concept_id,No,INTEGER,"This is the concept representing the drug source value and may not necessarily be standard. This field is discouraged from use in analysis because it is not required to contain Standard Concepts that are used across the OHDSI community, and should only be used when Standard Concepts do not adequately represent the source detail for the Drug necessary for a given analytic use case. Consider using DRUG_CONCEPT_ID instead to enable standardized analytics that can be consistent across the network.",cdm
DRUG_EXPOSURE,route_source_value,No,CHARACTER VARYING,This field houses the verbatim value from the source data representing the drug route.,cdm
DRUG_EXPOSURE,dose_unit_source_value,No,CHARACTER VARYING,This field houses the verbatim value from the source data representing the dose unit of the drug given.,cdm
PROCEDURE_OCCURRENCE,procedure_occurrence_id,Yes,INTEGER,The unique key given to a procedure record for a person. Refer to the ETL for how duplicate procedures during the same visit were handled.,cdm
PROCEDURE_OCCURRENCE,person_id,Yes,INTEGER,The PERSON_ID of the PERSON for whom the procedure is recorded. This may be a system generated code.,cdm
PROCEDURE_OCCURRENCE,procedure_concept_id,Yes,INTEGER,"The PROCEDURE_CONCEPT_ID field is recommended for primary use in analyses, and must be used for network studies. This is the standard concept mapped from the source value which represents a procedure",cdm
PROCEDURE_OCCURRENCE,procedure_date,Yes,DATE,Use this date to determine the date the procedure started.,cdm
PROCEDURE_OCCURRENCE,procedure_datetime,No,DATETIME,,cdm
PROCEDURE_OCCURRENCE,procedure_end_date,No,DATE,Use this field to house the date that the procedure ended. ,cdm
PROCEDURE_OCCURRENCE,procedure_end_datetime,No,DATETIME,Use this field to house the datetime that the procedure ended. ,cdm
PROCEDURE_OCCURRENCE,procedure_type_concept_id,Yes,INTEGER,"This field can be used to determine the provenance of the Procedure record, as in whether the procedure was from an EHR system, insurance claim, registry, or other sources.",cdm
PROCEDURE_OCCURRENCE,modifier_concept_id,No,INTEGER,The modifiers are intended to give additional information about the procedure but as of now the vocabulary is under review.,cdm
PROCEDURE_OCCURRENCE,quantity,No,INTEGER,"If the quantity value is omitted, a single procedure is assumed.",cdm
PROCEDURE_OCCURRENCE,provider_id,No,INTEGER,"The provider associated with the procedure record, e.g. the provider who performed the Procedure.",cdm
PROCEDURE_OCCURRENCE,visit_occurrence_id,No,INTEGER,The visit during which the procedure occurred.,cdm
PROCEDURE_OCCURRENCE,visit_detail_id,No,INTEGER,"The VISIT_DETAIL record during which the Procedure occurred. For example, if the Person was in the ICU at the time of the Procedure the VISIT_OCCURRENCE record would reflect the overall hospital stay and the VISIT_DETAIL record would reflect the ICU stay during the hospital visit.",cdm
PROCEDURE_OCCURRENCE,procedure_source_value,No,CHARACTER VARYING,"This field houses the verbatim value from the source data representing the procedure that occurred. For example, this could be an CPT4 or OPCS4 code.",cdm
PROCEDURE_OCCURRENCE,procedure_source_concept_id,No,INTEGER,"This is the concept representing the procedure source value and may not necessarily be standard. This field is discouraged from use in analysis because it is not required to contain Standard Concepts that are used across the OHDSI community, and should only be used when Standard Concepts do not adequately represent the source detail for the Procedure necessary for a given analytic use case. Consider using PROCEDURE_CONCEPT_ID instead to enable standardized analytics that can be consistent across the network.",cdm
PROCEDURE_OCCURRENCE,modifier_source_value,No,CHARACTER VARYING,,cdm
DEVICE_EXPOSURE,device_exposure_id,Yes,INTEGER,The unique key given to records a person's exposure to a foreign physical object or instrument.,cdm
DEVICE_EXPOSURE,person_id,Yes,INTEGER,,cdm
DEVICE_EXPOSURE,device_concept_id,Yes,INTEGER,"The DEVICE_CONCEPT_ID field is recommended for primary use in analyses, and must be used for network studies. This is the standard concept mapped from the source concept id which represents a foreign object or instrument the person was exposed to. ",cdm
DEVICE_EXPOSURE,device_exposure_start_date,Yes,DATE,Use this date to determine the start date of the device record.,cdm
DEVICE_EXPOSURE,device_exposure_start_datetime,No,DATETIME,,cdm
DEVICE_EXPOSURE,device_exposure_end_date,No,DATE,"The DEVICE_EXPOSURE_END_DATE denotes the day the device exposure ended for the patient, if given.",cdm
DEVICE_EXPOSURE,device_exposure_end_datetime,No,DATETIME,,cdm
DEVICE_EXPOSURE,device_type_concept_id,Yes,INTEGER,"You can use the TYPE_CONCEPT_ID to denote the provenance of the record, as in whether the record is from administrative claims or EHR. ",cdm
DEVICE_EXPOSURE,unique_device_id,No,CHARACTER VARYING,"This is the Unique Device Identification (UDI-DI) number for devices regulated by the FDA, if given. ",cdm
DEVICE_EXPOSURE,production_id,No,CHARACTER VARYING,This is the Production Identifier (UDI-PI) portion of the Unique Device Identification.,cdm
DEVICE_EXPOSURE,quantity,No,INTEGER,,cdm
DEVICE_EXPOSURE,provider_id,No,INTEGER,"The Provider associated with device record, e.g. the provider who wrote the prescription or the provider who implanted the device.",cdm
DEVICE_EXPOSURE,visit_occurrence_id,No,INTEGER,The Visit during which the device was prescribed or given.,cdm
DEVICE_EXPOSURE,visit_detail_id,No,INTEGER,The Visit Detail during which the device was prescribed or given.,cdm
DEVICE_EXPOSURE,device_source_value,No,CHARACTER VARYING,"This field houses the verbatim value from the source data representing the device exposure that occurred. For example, this could be an NDC or Gemscript code.",cdm
DEVICE_EXPOSURE,device_source_concept_id,No,INTEGER,"This is the concept representing the device source value and may not necessarily be standard. This field is discouraged from use in analysis because it is not required to contain Standard Concepts that are used across the OHDSI community, and should only be used when Standard Concepts do not adequately represent the source detail for the Device necessary for a given analytic use case. Consider using DEVICE_CONCEPT_ID instead to enable standardized analytics that can be consistent across the network.",cdm
DEVICE_EXPOSURE,unit_concept_id,No,INTEGER,UNIT_SOURCE_VALUES should be mapped to a Standard Concept in the Unit domain that best represents the unit as given in the source data. ,cdm
DEVICE_EXPOSURE,unit_source_value,No,CHARACTER VARYING,"This field houses the verbatim value from the source data representing the unit of the Device. For example, blood transfusions are considered devices and can be given in mL quantities. ",cdm
DEVICE_EXPOSURE,unit_source_concept_id,No,INTEGER,"This is the concept representing the UNIT_SOURCE_VALUE and may not necessarily be standard. This field is discouraged from use in analysis because it is not required to contain Standard Concepts that are used across the OHDSI community, and should only be used when Standard Concepts do not adequately represent the source detail for the Unit necessary for a given analytic use case. Consider using UNIT_CONCEPT_ID instead to enable standardized analytics that can be consistent across the network.",cdm
MEASUREMENT,measurement_id,Yes,INTEGER,The unique key given to a Measurement record for a Person. Refer to the ETL for how duplicate Measurements during the same Visit were handled.,cdm
MEASUREMENT,person_id,Yes,INTEGER,The PERSON_ID of the Person for whom the Measurement is recorded. This may be a system generated code.,cdm
MEASUREMENT,measurement_concept_id,Yes,INTEGER,"The MEASUREMENT_CONCEPT_ID field is recommended for primary use in analyses, and must be used for network studies.",cdm
MEASUREMENT,measurement_date,Yes,DATE,Use this date to determine the date of the measurement.,cdm
MEASUREMENT,measurement_datetime,No,DATETIME,,cdm
MEASUREMENT,measurement_time,No,CHARACTER VARYING,,cdm
MEASUREMENT,measurement_type_concept_id,Yes,INTEGER,"This field can be used to determine the provenance of the Measurement record, as in whether the measurement was from an EHR system, insurance claim, registry, or other sources.",cdm
MEASUREMENT,operator_concept_id,No,INTEGER,"The meaning of Concept [4172703](https://athena.ohdsi.org/search-terms/terms/4172703) for '=' is identical to omission of a OPERATOR_CONCEPT_ID value. Since the use of this field is rare, it's important when devising analyses to not to forget testing for the content of this field for values different from =.",cdm
MEASUREMENT,value_as_number,No,FLOAT,"This is the numerical value of the Result of the Measurement, if available. Note that measurements such as blood pressures will be split into their component parts i.e. one record for systolic, one record for diastolic.",cdm
MEASUREMENT,value_as_concept_id,No,INTEGER,If the raw data gives a categorial result for measurements those values are captured and mapped to standard concepts in the 'Meas Value' domain.,cdm
MEASUREMENT,unit_concept_id,No,INTEGER,"There is currently no recommended unit for individual measurements, i.e. it is not mandatory to represent Hemoglobin a1C measurements as a percentage. UNIT_SOURCE_VALUES should be mapped to a Standard Concept in the Unit domain that best represents the unit as given in the source data.",cdm
MEASUREMENT,range_low,No,FLOAT,Ranges have the same unit as the VALUE_AS_NUMBER. These ranges are provided by the source and should remain NULL if not given.,cdm
MEASUREMENT,range_high,No,FLOAT,Ranges have the same unit as the VALUE_AS_NUMBER. These ranges are provided by the source and should remain NULL if not given.,cdm
MEASUREMENT,provider_id,No,INTEGER,"The provider associated with measurement record, e.g. the provider who ordered the test or the provider who recorded the result.",cdm
MEASUREMENT,visit_occurrence_id,No,INTEGER,The visit during which the Measurement occurred.,cdm
MEASUREMENT,visit_detail_id,No,INTEGER,"The VISIT_DETAIL record during which the Measurement occurred. For example, if the Person was in the ICU at the time the VISIT_OCCURRENCE record would reflect the overall hospital stay and the VISIT_DETAIL record would reflect the ICU stay during the hospital visit.",cdm
MEASUREMENT,measurement_source_value,No,CHARACTER VARYING,"This field houses the verbatim value from the source data representing the Measurement that occurred. For example, this could be an ICD10 or Read code.",cdm
MEASUREMENT,measurement_source_concept_id,No,INTEGER,"This is the concept representing the MEASUREMENT_SOURCE_VALUE and may not necessarily be standard. This field is discouraged from use in analysis because it is not required to contain Standard Concepts that are used across the OHDSI community, and should only be used when Standard Concepts do not adequately represent the source detail for the Measurement necessary for a given analytic use case. Consider using MEASUREMENT_CONCEPT_ID instead to enable standardized analytics that can be consistent across the network.",cdm
MEASUREMENT,unit_source_value,No,CHARACTER VARYING,This field houses the verbatim value from the source data representing the unit of the Measurement that occurred. ,cdm
MEASUREMENT,unit_source_concept_id,No,INTEGER,"""This is the concept representing the UNIT_SOURCE_VALUE and may not necessarily be standard. This field is discouraged from use in analysis because it is not required to contain Standard Concepts that are used across the OHDSI community, and should only be used when Standard Concepts do not adequately represent the source detail for the Measurement necessary for a given analytic use case. Consider using UNIT_CONCEPT_ID instead to enable standardized analytics that can be consistent across the network.""",cdm
MEASUREMENT,value_source_value,No,CHARACTER VARYING,This field houses the verbatim result value of the Measurement from the source data . ,cdm
MEASUREMENT,measurement_event_id,No,INTEGER,"If the Measurement record is related to another record in the database, this field is the primary key of the linked record. ",cdm
MEASUREMENT,meas_event_field_concept_id,No,INTEGER,"If the Measurement record is related to another record in the database, this field is the CONCEPT_ID that identifies which table the primary key of the linked record came from. ",cdm
OBSERVATION,observation_id,Yes,INTEGER,The unique key given to an Observation record for a Person. Refer to the ETL for how duplicate Observations during the same Visit were handled.,cdm
OBSERVATION,person_id,Yes,INTEGER,The PERSON_ID of the Person for whom the Observation is recorded. This may be a system generated code.,cdm
OBSERVATION,observation_concept_id,Yes,INTEGER,"The OBSERVATION_CONCEPT_ID field is recommended for primary use in analyses, and must be used for network studies.",cdm
OBSERVATION,observation_date,Yes,DATE,"The date of the Observation. Depending on what the Observation represents this could be the date of a lab test, the date of a survey, or the date a patient's family history was taken. ",cdm
OBSERVATION,observation_datetime,No,DATETIME,,cdm
OBSERVATION,observation_type_concept_id,Yes,INTEGER,"This field can be used to determine the provenance of the Observation record, as in whether the measurement was from an EHR system, insurance claim, registry, or other sources.",cdm
OBSERVATION,value_as_number,No,FLOAT,"This is the numerical value of the Result of the Observation, if applicable and available. It is not expected that all Observations will have numeric results, rather, this field is here to house values should they exist. ",cdm
OBSERVATION,value_as_string,No,CHARACTER VARYING,"This is the categorical value of the Result of the Observation, if applicable and available. ",cdm
OBSERVATION,value_as_concept_id,No,INTEGER,"It is possible that some records destined for the Observation table have two clinical ideas represented in one source code. This is common with ICD10 codes that describe a family history of some Condition, for example. In OMOP the Vocabulary breaks these two clinical ideas into two codes; one becomes the OBSERVATION_CONCEPT_ID and the other becomes the VALUE_AS_CONCEPT_ID. It is important when using the Observation table to keep this possibility in mind and to examine the VALUE_AS_CONCEPT_ID field for relevant information.",cdm
OBSERVATION,qualifier_concept_id,No,INTEGER,"This field contains all attributes specifying the clinical fact further, such as as degrees, severities, drug-drug interaction alerts etc.",cdm
OBSERVATION,unit_concept_id,No,INTEGER,There is currently no recommended unit for individual observation concepts. UNIT_SOURCE_VALUES should be mapped to a Standard Concept in the Unit domain that best represents the unit as given in the source data.,cdm
OBSERVATION,provider_id,No,INTEGER,"The provider associated with the observation record, e.g. the provider who ordered the test or the provider who recorded the result.",cdm
OBSERVATION,visit_occurrence_id,No,INTEGER,The visit during which the Observation occurred.,cdm
OBSERVATION,visit_detail_id,No,INTEGER,"The VISIT_DETAIL record during which the Observation occurred. For example, if the Person was in the ICU at the time the VISIT_OCCURRENCE record would reflect the overall hospital stay and the VISIT_DETAIL record would reflect the ICU stay during the hospital visit.",cdm
OBSERVATION,observation_source_value,No,CHARACTER VARYING,"This field houses the verbatim value from the source data representing the Observation that occurred. For example, this could be an ICD10 or Read code.",cdm
OBSERVATION,observation_source_concept_id,No,INTEGER,"This is the concept representing the OBSERVATION_SOURCE_VALUE and may not necessarily be standard. This field is discouraged from use in analysis because it is not required to contain Standard Concepts that are used across the OHDSI community, and should only be used when Standard Concepts do not adequately represent the source detail for the Observation necessary for a given analytic use case. Consider using OBSERVATION_CONCEPT_ID instead to enable standardized analytics that can be consistent across the network.",cdm
OBSERVATION,unit_source_value,No,CHARACTER VARYING,This field houses the verbatim value from the source data representing the unit of the Observation that occurred. ,cdm
OBSERVATION,qualifier_source_value,No,CHARACTER VARYING,This field houses the verbatim value from the source data representing the qualifier of the Observation that occurred. ,cdm
OBSERVATION,value_source_value,No,CHARACTER VARYING,This field houses the verbatim result value of the Observation from the source data.  Do not get confused with the Observation_source_value which captures source value of the observation mapped to observation_concept_id. This field is the observation result value from the source.,cdm
OBSERVATION,observation_event_id,No,INTEGER,"If the Observation record is related to another record in the database, this field is the primary key of the linked record. ",cdm
OBSERVATION,obs_event_field_concept_id,No,INTEGER,"If the Observation record is related to another record in the database, this field is the CONCEPT_ID that identifies which table the primary key of the linked record came from. ",cdm
DEATH,person_id,Yes,INTEGER,,cdm
DEATH,death_date,Yes,DATE,The date the person was deceased.,cdm
DEATH,death_datetime,No,DATETIME,,cdm
DEATH,death_type_concept_id,No,INTEGER,"This is the provenance of the death record, i.e., where it came from. It is possible that an administrative claims database would source death information from a government file so do not assume the Death Type is the same as the Visit Type, etc.",cdm
DEATH,cause_concept_id,No,INTEGER,"This is the Standard Concept representing the Person's cause of death, if available.",cdm
DEATH,cause_source_value,No,CHARACTER VARYING,,cdm
DEATH,cause_source_concept_id,No,INTEGER,,cdm
NOTE,note_id,Yes,INTEGER,A unique identifier for each note.,cdm
NOTE,person_id,Yes,INTEGER,,cdm
